id,name,shop_name,bean_url,origin,region,altitude_meters,botanic_variety,farm_producer,processing_method,sca,flavor,recipe_ratio,recipe_in_grams,recipe_out_grams,recipe_time_seconds,recipe_temperature_c,notes,created_at,in_green_container,in_grey_container,user_id,shop_id,updated_at
0019b7d7-9ea3-4569-91b0-b8cd4e1d45d2,Yurumí,Hidden,https://hiddencoffeeroasters.com/producto/yurumi-nicaragua/,Nicaragua,Nueva Segovia,1500,"Catimor, Catuaí, Caturra",varios productores,Lavado,86,"Crema de cacao, ciruela y nueces. Acidez málica y cítrica y cuerpo cremoso.",1:2.02,18.5,37.5,29-30,94,Grind setting for IMS basket: 6,2025-06-20 07:09:22.879344+00,,,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,5,2025-10-31 10:19:07.884+00
00a08a9f-4b10-470f-bd08-a58431f0cad0,Fulu Aha,Tramuntana,https://mareterracoffee.com/es/cafe-verde/fulu-aha_pro3895/,Ruanda,Kizi Rift,1624,Red Bourbon,Emmanuel Rusatira,Fermentación Aeróbica,85,"Frutos rojos, especiado y vinoso.",2.00,18,36,29,93,"Roast date 17/7

Grind setting IMS: 9.3",2025-07-28 17:52:28.070614+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,9,2025-08-13 14:34:46.104+00
155bb81a-3340-4f91-99b4-c095194a76d5,Sitio Amoreira,Ineffable,https://ineffablecoffee.com/products/sitio-amoreira,Brasil,Sul de Minas,1150,Yellow Catuai,Mauricio Scalco,Natural,85,Perfil de sabor clásico. Notas dulces y afrutadas de pera y vainilla. Base de chocolate y praliné y fondo de caramelo. Final prolongado y acidez leve.,,,,,,,2026-03-18 09:32:53.618571+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,6,2026-03-18 09:32:53.392+00
16665b44-4461-4d62-95d4-773b6a847326,Spiralogy,Astro,https://astrocafe.es/tienda/cafe/specialty/spiralogy-indonesia-semilavado/,Indonesia,"Java, Puntang",1200 - 1500,"Typica, Line S, Catimor",Klasik Beans,Semi-lavado,86.5,"Miel de azahar, té, cacao y vainilla. Sabor dulce con notas de té, vainilla, lemon grass, miel y flor.",1:2.16,18.5,40,26,93,Last used grind setting: 8.,2025-06-20 07:09:22.879344+00,,,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,4,
18920f88-8580-419a-8757-4984f37dc4bd,Dimeti,Hidden,https://hiddencoffeeroasters.com/producto/dimeti-ethiopia/,Etiopía,Jima,2000,Heirloom,Pequeños Productores,Natural,85.5,"Notas a chocolate negro, fresa y naranja. Perfil exótico y sabor afrutado con cuerpo cremoso y acidez málica, cítrica.",,18,37,29,93,Grind setting for IMS basket: 13,2025-12-29 09:16:18.187431+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,5,2026-01-01 11:51:53.205+00
1b70a3a4-2242-4363-96b1-0f729ea85b85,Ruanda Women's Crown,Nomad,https://nomadcoffee.es/products/womens-crown,Ruanda,,1800 - 2100,Red Bourbon,Gasharu Coffee,Lavado Experimental,,"Flor de saúco, miel y nispero. Acidez equilibrada y cuerpo sedoso. Dulce, floral y persistente.",1:2.33,16.5,38.5,26,,,2025-06-20 07:09:22.879344+00,,,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,7,
1ec41a8b-42e9-4dfe-98f9-da2f3a4053dc,Jaguar (DESCAFEINADO),Hidden,https://hiddencoffeeroasters.com/producto/jaguar-mexico/,México,Chiapas,1300,"Típica, Bourbon, Catimor, Garnica",varios productores,Swiss water,83,"Vainilla, canela y azúcar de caña. Acidez media láctica y una textura en boca cremosa.",1:2.11,18,38,28,93,,2025-06-20 07:09:22.879344+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,5,
2ba8e483-a230-403e-a43e-2de73e5d2697,Magnetron,Astro,https://astrocafe.es/tienda/cafe/origin/magnetron/,Brasil,Minas Gerais,1200,Catuai y Mundo Novo,Varias,Natural,81,"Chocolate con avellanas y naranja. Sabor intenso de cacao amargo, nuez, piñones, garrapiñada y notas de naranja.",1:2,19,38,26,93,Last grind setting: 15,2025-06-20 07:09:22.879344+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,4,
2eab526e-7ed1-4614-b11b-0dd1ceccabcf,Las Brisas,Nomad,https://nomadcoffee.es/products/las-brisas,El Salvador,Juayúa,1250 - 1400,Mix de híbridos,Las Brisas,Honey,,"Notas de chocolate con leche, nuez de California y azúcar moreno. Ofrece una experiencia cálida y reconfortante. A medida que se enfría, emergen sabores de galleta maría, dátiles y un toque de almendra y pasas.",,18,38,29,,Grind setting for IMS basket: 10,2026-01-08 11:09:35.389636+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,7,2026-02-06 12:19:27.628+00
347f7122-0078-4c70-8c63-087b5d8a0c70,Nebulous,Astro,https://astrocafe.es/tienda/cafe/specialty/nebulous-indonesia-natural/,Indonesia,"Sumatra, Gayo",1100,"Typica, Red Bourbon, Tim Tim",Adena Coffee,Natural,86,"Intenso a especias, cereza y cacao. Intenso con notas de fruta madura, piña, pomelo rosa y mora.",1:2,19,38,20,92,Last grind setting: 12,2025-06-20 07:09:22.879344+00,false,false,0f48d0d5-877b-447c-b6d6-9dbaf3df1569,4,
